Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://web.physics.ucsb.edu/~Women/images/ucsb-big.jpg
Goleta Beach,A beautiful partly man-made as sand was spread onto an existing sandspit in 1945.,34.41685188,-119.8322206,https://en.wikipedia.org/wiki/Goleta_Beach,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAoHCBIVFRgVFRYYGBgYGhgYHBoYGBwYHBkZHBoaGhwZHBweIS4lHCMrHxgaJjgmKy8xNTU1HCQ7QDszPy40NTEBDAwMEA8QHhISHzQrJCs7NzQ0NDQ0NDQ0MTQ0NDQ0NDE0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NP/AABEIALcBEwMBIgACEQEDEQH/xAAbAAADAAMBAQAAAAAAAAAAAAAAAQIEBQYDB//EAEAQAAEDAgIGCAQEBAYCAwAAAAEAAhEDIRIxBAVBUWFxBhMigZGhsfAyUsHRFGKS4ULC0vEVI3KCorJj4hYzQ//EABkBAQEBAQEBAAAAAAAAAAAAAAABAgMFBP/EACgRAAICAQMEAgEFAQAAAAAAAAABAhESAxMhFDFBUQQiYTJCkbHwI//aAAwDAQACEQMRAD8A6lEJwiF7dnlEwiFUIhLBMIhVCISwTCUKoRCWCYRCqEQlgmElUIhLBKIVQlCWCUKoRCWCYRCqEoVsCShVCIUBMIVQkgEkqhEICUKoShATCIVQiEBMJQqhEIUmEQqShATCIVQlCAUJKoTQGVCUK4ShZsEwiFUIhLITCUK4ShLBMIhVCISwTCIThEJYFCIThEJYJhEJwiEsChEJwiEsChKFUIhLBMIhVCUK2CYRCqEQllJhEJwiEsEohUiEsEwkqhJLAoRCqEksEwiFSISwTCUKkQlgmEKoQllMuEoVQiFzsUTCIVQlCWKFCUKkJYolEKoShLFEwiFUIhLFEwlCqEJYolEKoShWwJJUhLJRMITQlgmEQqSSwJEJoSyihEJpJYFCE0K2BIhOEJYJhEKkksChSrQlgmEQmhLFChJUhLKZSE0QuVloUITSSyUCSaEsUJCaFbFCSVJJYoSE0QliiUJohLFEoVJJYoSSpCWKJhCcIhWxRKE0JYoSSpJLFCQmhLFEoTQlihIQhWxQJJwiEsUJCcISxQkIkb0KWjVGWhNJc7LQJJpJYoEKNIqhjXPMw0EmLmyxNUayZpDMbQRBLSDscNk7cxdTJXRceLM1C1PSTS6tKkH04HaaCTeJIA8SQLCVsdFe8sYXtwvLRibYw6LiRxTLmhjxZ6oQhWyUCFpNHOk/i3gu/wAoNBLSDEOkNLTETLbidqrX1fSWGmaIBBdhIIkEnIOgSBE3WcuLNY80bheVOuxxcGuBLTDgDJadx3LUu0XSPxjX43dXgcYBgQIGCNpl0zy5KtVaqNOtVeXSHQ1okk4filxJuZMdyZO+wxVdzY6XpVOk3G92FsgTc5mNi9muBEgyDcEbVz3TTRy6iHAjsOFjtxEC3JbDUuk0jRpimewGhonMYbEHwRSbbQcVSZ7jWNLrOpxjHEx9Adp4LLhcr0h1ccbq1JzseFxwjKbAkbZjYFrtI1rplM0pf8LYdiydkTivmAW+Ky9Rx/UjS08uzOzfplMPFMuAeRIHDnkvP/EaXW9Ti7ZEgb+E71xema1NR7KrWmWkYg4y3EDAA3TMDie9eDNbPZWfVe2QAT2YlpJAZcGw2bjlms7/ADX+ouzxZ9GSXFUelFVre2MUQS4HDaYNhOV/BZWtekD2QKbh8OLtA7RLZyjNb3o1ZnaldHVlQ57RmQuH1lrqpX0ecQYASHtBguiCIMZXFt8BeWh600hlFrZa84rOPyZgbzO8xmOaj14p89irRZ3Yqt3hDqrACS4AC5JIsFwlTpBUeYb2Q05tvM5B1oA290p09O0irReww4tME7HC8gnKBCnURd4pl2X5O5GkU8OPG3D80iPFOlUa9ocxwc03BBkHvXyyhUcQ8OI6uxMYi0PMWjabHwK33RJ1QMe95wsNxJgWJxHLfKaes5OqEtHFXZ268tJ0hlNhe8w1ok2J8gtPoWsaVWereHYTBj3lfNZFbE9paTMiL3HCRtXfuric8eeTX/8AyprgQ1nbJOAEyCLGXRlnlwK8tE6VHrmsqBrWPyOWF2QbuMkbxmFg6NqN5NaSGmXBhF4IHZcTugi3NGrtTv63E8gNDGObEGcRktIP+4TyK+X/ALZKzvjCmbWn0nBr9W5kMc7A103xWzBsB2vIrfaQ4hriBJAJA4xZcrR1QRpBfj7ADXNbtxEuzJzHxePBbuSu+mpYvJ8nKSjfBxVWnJJqNGM/Fic2Z42Qunq6poOJcabSTcnemuHSy9nbcidUklKJXQ40NKUSiVRQntDgQRIOYO1YurNFZTYGMGUgk5uwnCC47TAF1lSvFroc7ud4iP5UKXpHwnhfwv8ARekrHqVAQRvB9FLdIkAjaAfJWmZMmUSsQ1TvSNQ71rFg9w4YnHg0ep+q861cWH5m+s+krEkw7DmSYkxlDfoVrNCqueD/AJocA8tJiC0hpJvui4ssvh0VK+Te19IALSL5jdYifVoWBo+sQ9zhcHdwFptzWFqpwNMODnOGNsYjMEOgwc7mc9kKNQ1nv60vbBFQtBi5IAxd0j1UTdotJJmbrWmH0Xg37JNs7XtxiV7aOxrWhrcgLJaR8Dh+V3oUUD2W8gulc2TwN4u08x4/uAsHStBp1Gsc4DEAADnGIAXGRvBvuWZWPZPC/hf6Lzxf5YO5rT4AH6JJJ8MJ1yjUs1Mzq2B/adia55EgOgtaZ323rMp6tpNqvfHxwCCZA/jJA2S5sle78o/1x4kj6Kqju1P+iP1EHyesqEV4K5NmlGoowOY+/WvLi8SS0vcIB3xa+/uWVrjU4fhLHCn2odhYO1ihgJ4jYs5zrP4ODv8Aq77r00jLkWnwcD9E2401XcuTtGBomq6Y0c03gPxgudP8RIEG2Xwt8Fy76Dn1sAOA2xANJOEj4ichAAjmF21D4Gjc0DwELEawQIAk03Nnb2YAE95WJ6SlX4LGbVmobqAlzsbzhFRga1tsQIawl3HA4DgZO1bbQdXsZRcxoJJDgSc3G4uV7vNn82u8A3+letIxiG5x8+1/MtR04x7IObZymo9Fc6o9rWwzA5r5bYuPwjiQRPuV0jKQfQa3IPptyAMS0bCI8QloMNLxxB5nafRe9GzQBskDuJH0TTjSoSlbOc6K6oqtqOe8YMOJhaAAHg3m24+q6qowN2ysek67v9X8rSrc9ajHHhMjaZLLPcN4B+h9AuU6RPqh9IteWYWsAgm5vcgXN7RtniuqJAc08x4ifosOsxrsGIA4LiRlge2/qszTfCLFpdz2ovccLjmWCYuJHcLdrcvcgryf8Q4yPKf5VTXELojI5Qnj4BCWSjZabrGnSbie4AbsyeQzK5TTeneB4wsGCbgziIm8EGAfcrldM0+o95LySSTuFvcLBr0XmA45Wyy+68960pS9I6qKR9EpdO9EdmHt4lsgeBXRdeSJGREr4sx7WTkeJAdfgMl1GpOkQYxzXvc5xuwOyyAiQZF7+K7Q1OfsSUfR3xrHevE1O3nm0eRP9S0mqNZdc0yAHNMHCZbe4g8llPf2xBOTvVq+hSTVo5uNGzxLXaTrDq6bSBJLWxJgbM4uLTeIteFj6e92B2F7mnMFsE58TC4bT9Iqh+EvL4htySW5gtsSAuepNxXBuMLO+ZrykaTqhIGDNpInF8o37loanTR8kNpN4S+cs8hHmuWfTEGIz8DuPmnorWOcJIGEcLnkc1xevI2tNHfag1/T0gYYLXjE5zTl8Vy12RFxxVUH0KWIFzWzUe50u3ggd0EBcdScGWYCC7MCRO+yx6ri0mSIjInbmU35PwNtHd6sdTbRAYZaHkzn/wDpN+6FkaNXGKoPzjzYxcf0f05vaYS/EQIkjBYkwBszW8ZpGF9W4/hIBtJwRH/FdY6n1tmHHmjdPrNg8itVQ15RYxoc4l0XDRMbc8lodI1s9ww4gIF4k+JzWtrMBsSIAkmN4XGXym39TS015O00fX+jvdhBNxaRAPBZNOoDTaL3YB/xXzVz2XgwBkQRM7M72W90PpO1jGMew9kBoIdJcBYWjktx1n+4OC8HUP01jBjfZok9xYD6rSM6TMtjZDQ2AWmdrSJmPlC9aOlU61KHXBaJF7EBw8oXH6fDeyAC3Z8WyQduazqaslJUFFHe0Nc0HyQ8DGA0BwI7XakTluWdUqgsJn+EnyXyo1zgDIHP0jdkug1Vrs4Gsd2gG4CCe1iOTgT8Q/Zajryp2htq+DtfxDGjtOAu6L/mK8qNdhAOIRieM9hLv2XM6fpfaIMAOIA72gwPFYTtJeAbDLFzMTbwK59TJvsa2onXu06mGmTctA7xM+o8V4VNbQSWgQY79npC57R9LxRnYiQPz3Hk1BqEETzz5fuj1pM0oRN/R1mzFt/itYXcQe+wHishmnt7UgiD6wfUrm6zw2HxFsWezsgecrJfXeTIi+0mxzyG6N6b8kMIm6pawbidY3g7N0b+C9vxzJgyDsBj1yXI1nvabOImLAgC37LW1tOcDA7ybkc1F8ibJhE7+ppLYB2Yht3mPqvJ+kNB7RABxtniXDhwXJ6s1kQ7A92EO7XwzfPMG2/JZmnaU6XBgsHOIi04gSTPNXekXCJv6mmsAY42BM5G0tOduKTtZ0xm4TbfF8oMLApupkMxkhs9vM4SSezaxzam+nQcAA0yBilxwiYHObgpvS9l24mX/iTPmH6ULUOos3oTdfsYx9HO6LoOkPhzWPcGy/LYLk7yMkVMTwHYXEOBIgTIGcbwF9Hr6hpksIDwWgtAZgphoIwmMIGyy9KXR2m0ANxy1hpgktcerdMtggiLnZK5txbsYM+TVJyiItCYpPn4TIORF53QvpzOiVIET1rvhuXtgYTINhMzN+JXu/o1TdJPWSbkl8lx2uN7k53VU4jBnH6qrVBQ7Di0tDoYG5uzAzm9r8Vl6E+s9oc9z2mYAwu2ibb11GjaiYxoDcYiYLiCRnsNsyTkc16P1S51jUqBsEYWhjAJOI/AATfiqtVeQ4HK6cx2EtdUflOFzSOU7u9anRtXOwuc52F2wESDb1yC7k9HmuBaX1AJxCHZG1+JttXq/U8lk1XkMBwiGTJLSSTF8h4pLUiwotHzbSKeEuAOK+fZE23TZeGj1ntkCIubEE2HDkAvo7ujFO3bflFw2wmdgmeJXq/o+0w7rHiC1w7DSey0NAyuIAzlYyiaxOH0d2Jgc5pBvEmBN8ht98l4dUHuJIIYM7SchIG2ZXdN1AGNaxjnuLTikMYBil1yLDJ5EAbl4v6N0A+A+qCcLsIiIJw7BsgTdMooYtnJM0ZtMmxbaQSTcZgwOELLFB0h18Lh8RMAxxMA8l1em6klvbrVTDmw4tDnAggAAkG0W5WWSdVVC0tdWe9rnT2msIAv2QAOyJvbarkq7kUWcGdCLnFrA1xvYPYN9zJvdY2nU8BNN+fAtMbb4SfNd0Oi7AZxumSR2QM8xYZWHgsfTeiTKhLjVIJAFmtBgQALZ/DzvmsLFFcWclqTotpGmOinhDA7CX1HtDWxGz4nGDkB4Lz110bq6O/BjZVYHYcbHTti7CZB5SLZrqW9C6YLRLHsBlzTiaXCZwl0mOYC9K3Rmoaoex7KbflnHFozwtPotqSomLOQ0Eua3AMbjcQBskjId+ay2ak0ut8FF72NdgJAgB8jsyT8UkeK3ei9DqlNxf1zXTi7IBZJO5148Fk1dUaZhIY4Mbua8C+UlxbJtCxKSs7aeipK5NL+zg9Zatq0Kj6dVhY9mE4TEwYjIkZEFVotMioJEAYSbxExfzXW6N0Z0k//AGtpuuDJe7fMGG8AtlT6MO/jcDeYDngeUStZKuTnKCT4ZyTT2g91wGzfeABHhK1mkvfiI4xbLbku7PRFxiXNADYwgmC45uuLSsXSehZe/EHc4PPf3eaxxZHFnJ6A98PdgcYwG1vhBaP+wVaQ9xuREOIjkupb0OqBjmS3tNDZtYhzHT8V/hNuKQ6H6RDhibd+O4FhDrQDc3GcZLeSomLNAxwe2HfBcE7gCSFdXSQ0QBbIQLeK6Gh0Qqta1hc1zWlxIJLZBB7MiYzN+K9tK6N1jhDAxrRiAaXueA04bDFOUE8+ZWW0/JaZwlbS+0DYxlIy4cUtGo1KjuzxF7gSIXaaT0W0hz3Pa2lJwlhJ7TC3aCGxG8RdY9DolpQd2+rc0mXC14BAAtsnhCsZLyJR9Gu0fomHRiq4d8MmO7Er0vRG0RhfpDvytwSb2uA76rs9G0HRxo9Sk/QaRfgc1lQU6JcHFsYnOJmQ64IWo1p0YwsDaQDzaSWYMNxa5PFb+r7sz9vCOa0XTaQeGVS8McWy5tzbCJwid3mupOj6G+k99LSHvLGuOE2OICQCC0Fa2hqCsIJpQ4bQRvJEEXnK/wBlsho7urLKmjtc4lx6wF7XwcXxv7WPPaBlxlZko1wyxcuzRw1XTHSbkIWfU6MVST2znuf/AEoXK0MWfTmvpi8Hw70dbT3rTmo7ek2u4bfGCvsfxvycuoRuxVZvT61m/wAlpOudOfovVtY7wnTfkdQjamo0/wAXBVjb8w93WnFX/T3gK+u4M996nTP2XfibUPGx1vfBYdPSxLy+Gw8saRfEwBpDpAkAm3csY6TvYzxd91H4gX7I7nH6qP40vBuOvG+TZM0qk42eJyzz2968amtKbZaC9xBg4abz3zELFFcD+H/n+yk6U35Xfr/9Vnp5F39O+z/k2dLScQB7QJvBGG3G+5DqJcQ4uAI2gScwc+5aw6U35XfrH9KTtKbsDh/uB/lU6eRN+JunAxBdPPxVB35vM/daMaUPzeP7K+vH5xxkFNiQ3om5B4zzn7pg8R4futN+IaNr/L7rzdpO5zuRR6EgtWJvHE7CM0iOXgFpfxX5lQ0g/P5fupsyNbkTcEZxA5R9QnJ4d/8AZaf8R+fyKX4tvz/8HKbMvQ3Im5DncMuGe/JAJ4Dw+y07dKHzjwK9G1/z+RTZl6LnE2YBmbcbC6C582iN1r8MlrxV/wDIPApmr/5GeLvsptS9DOJnh7+Hkn1j+Hktcarhm9n6j9lWJ/zM/Um3L0XKJnmq/d5BMVnbvT7rAD6mQLT/AL1449IBcMAcDJBDwYOWHfG3xUwl6GSNr1r9w8Edc7cPBatlTSIGJl9sEZ8JKsmv/Cw77mfrOaYS9DJez3plwe55ntQCJtAmLTxK9/xP5THJYLX1hmx/6Sq65/yP/Q77KYS9DJPyZhrkj4fL91i0qTmuLg53aiWkSDAjh4zsC8Xaw5juQNYc0qRcjYddw8imtf8A4lzQmLLaNVBvl770ieSezL1QSIXrnkEtVsG8eF1LTu9Uy4ygGDwRI3Qmcju4kqQ87j5fdCjJ3eql++PNBJyy7ggunL0QBPDxKmDwVTHFJzp/ugApQljnYUieBUoWMPO1X1qgE8TzCoN4DwhKFskv4+inrFRHBItClC2GNPEpwhIMHv8AdKLkyi8+yoLkOYdnvySJ3pSGTGHL2a8+wsdrhuKo4VMRkz36yPfopdU4LykcfFS4CdvkmKLmz2D+CsVjuWMPd0SeKYjNnqX3lNr+C8MXNUDzUwRdxnu1/uU3VztJ7ysaeJ99yABv9FcRmzKFc7CfEp/iX/O79TvusQDkn7spiiqbMtumVPnd+p33XszTKnzk8z91ryEyT7/smCG4zP8AxT/m/wCv2Qtd2tw99yFcUNxmU4cTu3++9TYjh3Ie8C8jxUue0CXHvP8AZbOdFhozj08lTHN3eELzaWnbPLNO26PHyQUyjhGWLkAD9F6h4O/0+ixmNAnDi8/qkS+LeZcPohaZkyPZXnyB8V5GqQMx5nzhDap2x3SUFFlw47eKk+5t6qS+8W8bqpO2PGUIMpNvdKT8qbjAysoAJ9iU2xaJ8Shj+BhN9UDPagILgLX75Pqgn+yfWNySxBAKD7siPea9AfcKSQdo8EBGE8+cKC2OC9CghSxR54fcfVAHmrsiRtjvVBLmHYlBVA7gpPGfJAAaiB7hBfz8EA+4QAWDak2nuTxRthMO5IBGnzQKY4+JKoO4KA++R8P2QgNZz8Uj3qsY4+BSLhvPvuQp5kjb6fsvQcI8/RE7neicic/JCE4eAQrxe4Qho9cMEiAT74KSzg3lhzQhU0DKRzgTvhvgvYNPuEIQyxioYsLKg47YACEISwsbiYSwX3ckIUZoT2zsleLqbf7BCEIJrGk/YkKurGz1KELNlpEtp7ie6fqUNogZz3mf2QhaIxdXe0HnuSnb79EIQhMjkeUpGpax77oQjAAHMoLjz980IUQY2OO6O9Lrhl9EIVAy7l4KC+Mz5IQgEXD3KeIb/VCFGEO6bUIQ1SHCTDzQhUyxklTHGEIQpJaTtTExv8k0IjLIw+/ZQhCoP//Z"
Santa Barbara Zoo,One of the nation's best small zoos.,34.41945578,-119.6684624,https://en.wikipedia.org/wiki/Santa_Barbara_Zoo,https://media.timeout.com/images/103612084/image.jpg
Clen Annie Golf Club,"A ideal location for golf tournaments, weddings, corporate outins.",34.443225,-119.880214,https://www.glenanniegolf.com/,https://golf-pass.brightspotcdn.com/dims4/default/9f203af/2147483647/strip/true/crop/900x581+0+63/resize/930x600!/quality/90/?url=https%3A%2F%2Fgolf-pass-brightspot.s3.amazonaws.com%2Fa0%2F22%2Fbcc519a4a1e13ea0416861aa7881%2F84555.jpg
Santa Barbara Museum of Natural History,A wonderful museum with ten indoor exhibt halls focusing on reginal natural history.,34.44115,-119.714528,https://en.wikipedia.org/wiki/Santa_Barbara_Museum_of_Natural_History,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Santa_Barbara%2C_Natural_History_Museum%2C_2019.11.24_%2835%29_%2849184855698%29.jpg/1024px-Santa_Barbara%2C_Natural_History_Museum%2C_2019.11.24_%2835%29_%2849184855698%29.jpg
Stearns Wharf,The longest deep-water pier between Los Angeles and San Francisco.,34.40985,-119.68561,https://en.wikipedia.org/wiki/Stearns_Wharf,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_2eObBDUzAGaqal7WIwNy2K9-sE9yEkGI1g&usqp=CAU
